metric,dataset,value
RMSE,train,1.9167234278608036
RMSE,train,1.9343501983861553
RMSE,train,1.9641918721558835
RMSE,train,1.91943854895388
RMSE,train,1.8982058986006063
RMSE,train,1.9456453023884652
RMSE,train,1.9323031184448036
RMSE,train,1.9334827871861269
RMSE,train,1.9464815469077232
RMSE,train,1.9226383153505027
RMSE,test,2.223112852463371
RMSE,test,2.0233183002348256
RMSE,test,1.8974140717610102
RMSE,test,2.3662694935937787
RMSE,test,2.4701433483663022
RMSE,test,2.2472957343455784
RMSE,test,2.181432896059173
RMSE,test,2.205148719978335
RMSE,test,2.2988757183193615
RMSE,test,2.0727180489754
R2,train,0.5955442405451847
R2,train,0.5842094706249015
R2,train,0.5809409140294707
R2,train,0.5913136178172105
R2,train,0.5977423576644063
R2,train,0.5810413400907667
R2,train,0.5878915942397469
R2,train,0.5897107815414742
R2,train,0.572706356187317
R2,train,0.5955410598014008
R2,test,0.43404133727024796
R2,test,0.5623585980198509
R2,test,0.5278141372518479
R2,test,0.40098738450672555
R2,test,0.3811398357543938
R2,test,0.4349845033751828
R2,test,0.46608212765900825
R2,test,0.42606507921759496
R2,test,0.48898995710251547
R2,test,0.474226237511026
MAE,train,1.4742236394487036
MAE,train,1.4814591448057188
MAE,train,1.5104212381058344
MAE,train,1.4813236678038293
MAE,train,1.4542283028935246
MAE,train,1.4934262476346514
MAE,train,1.4899816811352293
MAE,train,1.488033760826064
MAE,train,1.4908280129242426
MAE,train,1.4761052780198063
MAE,test,1.715837662741354
MAE,test,1.6393750045145594
MAE,test,1.505578612520084
MAE,test,1.786566623296661
MAE,test,1.9208003148469612
MAE,test,1.7651345230369944
MAE,test,1.6972310195400517
MAE,test,1.6724858819966337
MAE,test,1.7901911804390813
MAE,test,1.658443546328774
Fit_time,train,0.28835391998291016
Fit_time,train,0.2739441394805908
Fit_time,train,0.32471179962158203
Fit_time,train,0.3593759536743164
Fit_time,train,0.32260727882385254
Fit_time,train,0.34304118156433105
Fit_time,train,0.31499505043029785
Fit_time,train,0.30890369415283203
Fit_time,train,0.33672404289245605
Fit_time,train,0.3123152256011963
Fit_time,test,0.004008054733276367
Fit_time,test,0.004002571105957031
Fit_time,test,0.003244161605834961
Fit_time,test,0.0041048526763916016
Fit_time,test,0.004364490509033203
Fit_time,test,0.0043849945068359375
Fit_time,test,0.0032918453216552734
Fit_time,test,0.004446744918823242
Fit_time,test,0.0033965110778808594
Fit_time,test,0.003232717514038086
