metric,dataset,value
RMSE,train,1.1468647833597143
RMSE,train,1.1492509196249014
RMSE,train,1.1483709159858602
RMSE,train,1.0969910696965632
RMSE,train,1.1170133659664025
RMSE,train,1.145185918636984
RMSE,train,1.0932036224837771
RMSE,train,1.1422820639794076
RMSE,train,1.1059871190920296
RMSE,train,1.131409489516847
RMSE,test,1.7570338711052695
RMSE,test,1.5976226058043301
RMSE,test,1.6653820437695708
RMSE,test,1.8485840514549958
RMSE,test,2.037835206551387
RMSE,test,1.852256205636578
RMSE,test,2.017583296103238
RMSE,test,1.8351420909716207
RMSE,test,1.8330094745593837
RMSE,test,1.6955113120114116
R2,train,0.8551973346265228
R2,train,0.8532310767193722
R2,train,0.8567575264348484
R2,train,0.8665102481577135
R2,train,0.860705359680656
R2,train,0.8548570884972583
R2,train,0.8680944443801358
R2,train,0.8567956535193504
R2,train,0.8620486392325765
R2,train,0.8599384630530187
R2,test,0.6464735109925857
R2,test,0.7271409419937985
R2,test,0.6362386931352876
R2,test,0.6344170245876952
R2,test,0.5788019653798557
R2,test,0.6161672554399018
R2,test,0.5432761510826538
R2,test,0.602509939252837
R2,test,0.6751163402392842
R2,test,0.6481805586170334
MAE,train,0.8684539747625638
MAE,train,0.8710962962027967
MAE,train,0.8714138780461941
MAE,train,0.8328686112347481
MAE,train,0.8455269598292029
MAE,train,0.862337650332644
MAE,train,0.8285290165543454
MAE,train,0.8597617272256007
MAE,train,0.8399298291936537
MAE,train,0.855372937211068
MAE,test,1.344382128749996
MAE,test,1.2271110797077807
MAE,test,1.2606199727420695
MAE,test,1.372029333046141
MAE,test,1.565322329597832
MAE,test,1.3725551285199686
MAE,test,1.4899621441573383
MAE,test,1.3985443583941255
MAE,test,1.3616054354465426
MAE,test,1.2948814502992536
Fit_time,train,1.6640548706054688
Fit_time,train,1.5352506637573242
Fit_time,train,1.5692460536956787
Fit_time,train,1.5538325309753418
Fit_time,train,1.5697021484375
Fit_time,train,1.5206515789031982
Fit_time,train,1.5245299339294434
Fit_time,train,1.5015301704406738
Fit_time,train,1.5378944873809814
Fit_time,train,1.5160183906555176
Fit_time,test,0.004999876022338867
Fit_time,test,0.004999637603759766
Fit_time,test,0.0060062408447265625
Fit_time,test,0.0039997100830078125
Fit_time,test,0.005003452301025391
Fit_time,test,0.004999876022338867
Fit_time,test,0.004999876022338867
Fit_time,test,0.005000114440917969
Fit_time,test,0.004000186920166016
Fit_time,test,0.005000114440917969
