metric,dataset,value
RMSE,train,1.555019382058619
RMSE,train,1.5865590537287657
RMSE,train,1.5599697743311522
RMSE,train,1.5308219966004113
RMSE,train,1.5487548897347527
RMSE,train,1.5543763839387736
RMSE,train,1.5334566041347832
RMSE,train,1.5374759480491935
RMSE,train,1.5484848854086777
RMSE,train,1.555417398134515
RMSE,test,1.7152014786248402
RMSE,test,1.747101568138409
RMSE,test,1.7152124824847506
RMSE,test,2.036072241650635
RMSE,test,2.1438284911163135
RMSE,test,1.9353870626544505
RMSE,test,2.1602934513476515
RMSE,test,2.011253473668675
RMSE,test,1.9549755824536712
RMSE,test,1.8459173795776478
R2,train,0.7337903865621704
R2,train,0.7202842816828345
R2,train,0.7356740453076522
R2,train,0.7400492172196314
R2,train,0.7322169722553415
R2,train,0.7326031968995601
R2,train,0.7404602130243984
R2,train,0.7405664457784846
R2,train,0.7295793875562433
R2,train,0.7352882868934755
R2,test,0.6631070074673617
R2,test,0.6736930766180096
R2,test,0.6141445816721482
R2,test,0.5564996921650212
R2,test,0.5338472070811837
R2,test,0.5809406146134012
R2,test,0.4763799824781735
R2,test,0.5225581379231237
R2,test,0.6304432627738246
R2,test,0.582993361254122
MAE,train,1.1886995100435753
MAE,train,1.2131063143007654
MAE,train,1.1932626354624316
MAE,train,1.1709686345169203
MAE,train,1.1883594578233105
MAE,train,1.1947162323747857
MAE,train,1.1810071472755124
MAE,train,1.1812333366138315
MAE,train,1.1793993816645174
MAE,train,1.1940920876541943
MAE,test,1.3458193720158724
MAE,test,1.3803525083986345
MAE,test,1.3541363456475113
MAE,test,1.5257301851304501
MAE,test,1.6789133779400403
MAE,test,1.4409970258200253
MAE,test,1.6675879660579538
MAE,test,1.5071629753626636
MAE,test,1.5083815629536474
MAE,test,1.4113369898250572
