metric,dataset,value
RMSE,train,1.4260167174906617
RMSE,train,1.4082960323183216
RMSE,train,1.4418973239603976
RMSE,train,1.4280974697604858
RMSE,train,1.420194203051194
RMSE,train,1.4199309555559108
RMSE,train,1.4513668482503095
RMSE,train,1.4095508638867382
RMSE,train,1.4005191165586242
RMSE,train,1.408560932347606
RMSE,test,1.7693595396788733
RMSE,test,2.144334348398875
RMSE,test,1.7092691426755389
RMSE,test,1.6755701913491716
RMSE,test,2.0071724210669157
RMSE,test,1.8346859341233122
RMSE,test,1.7424904384501878
RMSE,test,1.9356486107529984
RMSE,test,2.182568565521623
RMSE,test,2.059515789679674
R2,train,0.7689395019749464
R2,train,0.7690584058743809
R2,train,0.7626316630528189
R2,train,0.7666842836554124
R2,train,0.7637827174603435
R2,train,0.7635086161537713
R2,train,0.7544417475507821
R2,train,0.7697103606531059
R2,train,0.7749039885666087
R2,train,0.7720801895280636
R2,test,0.5648620885654251
R2,test,0.5047394134993212
R2,test,0.6227242801388571
R2,test,0.6428765281060418
R2,test,0.5860457049461443
R2,test,0.6539005478636088
R2,test,0.6738803918259073
R2,test,0.5801974897743137
R2,test,0.4149083959464558
R2,test,0.48230468556799144
MAE,train,1.1093525489727851
MAE,train,1.0894607779680883
MAE,train,1.1157165326538572
MAE,train,1.1058262524358504
MAE,train,1.1061672466089918
MAE,train,1.1047444141874472
MAE,train,1.1243380341532492
MAE,train,1.08861068372194
MAE,train,1.0850812208780343
MAE,train,1.097359053794286
MAE,test,1.349577959895448
MAE,test,1.5450913898993892
MAE,test,1.355079338721172
MAE,test,1.2965750818642932
MAE,test,1.4702964222998691
MAE,test,1.429695074225052
MAE,test,1.324677147150685
MAE,test,1.5719242490874765
MAE,test,1.5816882524788036
MAE,test,1.5787088042377608
