metric,dataset,value
RMSE,train,1.2446706493174298
RMSE,train,1.2018064096882515
RMSE,train,1.2272992632149722
RMSE,train,1.2073226053405468
RMSE,train,1.2261771203348297
RMSE,train,1.202677978532417
RMSE,train,1.23291686182492
RMSE,train,1.2173234155600317
RMSE,train,1.2218609417358477
RMSE,train,1.1944361314061478
RMSE,test,2.009098553681763
RMSE,test,2.269894861011052
RMSE,test,2.030252518184736
RMSE,test,2.002715481253008
RMSE,test,2.2645646997087163
RMSE,test,2.0951512054057972
RMSE,test,2.132972803878851
RMSE,test,1.9873748054450444
RMSE,test,2.203205589126316
RMSE,test,2.1699119076164983
R2,train,0.8239705352556754
R2,train,0.8318165412148607
R2,train,0.8280290610827679
R2,train,0.8332464995430299
R2,train,0.8239148975928051
R2,train,0.8303399518054451
R2,train,0.8227983666126096
R2,train,0.8282388863705299
R2,train,0.828670052472326
R2,train,0.8361084124265421
R2,test,0.43895561399691096
R2,test,0.4450418338875405
R2,test,0.46772255041938704
R2,test,0.48981033842868316
R2,test,0.4730705191410265
R2,test,0.5486554618777766
R2,test,0.5113400562410018
R2,test,0.557460999722135
R2,test,0.40379155482222207
R2,test,0.4253172139058875
MAE,train,0.9342659239645686
MAE,train,0.9042118460303825
MAE,train,0.9226438898398208
MAE,train,0.9123371030909765
MAE,train,0.9240805711995924
MAE,train,0.9107151660295695
MAE,train,0.9183553339664009
MAE,train,0.9200436931748505
MAE,train,0.9181267722712178
MAE,train,0.8942414824348854
MAE,test,1.4973534299841291
MAE,test,1.657211620510004
MAE,test,1.5399393959525511
MAE,test,1.4649796703657407
MAE,test,1.7024325951455979
MAE,test,1.5973604935735983
MAE,test,1.6590885089391674
MAE,test,1.5378556390129972
MAE,test,1.5802612756957057
MAE,test,1.6277753781191895
Fit_time,train,1.1133801937103271
Fit_time,train,0.8598339557647705
Fit_time,train,1.0201234817504883
Fit_time,train,1.0092620849609375
Fit_time,train,0.9997634887695312
Fit_time,train,1.0114192962646484
Fit_time,train,0.9917597770690918
Fit_time,train,1.0484864711761475
Fit_time,train,1.0847818851470947
Fit_time,train,1.0151143074035645
Fit_time,test,0.006999015808105469
Fit_time,test,0.003999948501586914
Fit_time,test,0.002999544143676758
Fit_time,test,0.003000020980834961
Fit_time,test,0.003002643585205078
Fit_time,test,0.003000497817993164
Fit_time,test,0.003999948501586914
Fit_time,test,0.004312992095947266
Fit_time,test,0.003999948501586914
Fit_time,test,0.003999948501586914
