metric,dataset,value
RMSE,train,0.7844681189949936
RMSE,train,0.7954216018829813
RMSE,train,0.7882018725401944
RMSE,train,0.754674642591699
RMSE,train,0.7746144541466922
RMSE,train,0.7743512771246832
RMSE,train,0.7762698123532144
RMSE,train,0.7569609064161578
RMSE,train,0.7795377282742078
RMSE,train,0.781999829167141
RMSE,test,1.7591345646389234
RMSE,test,1.82876733113142
RMSE,test,1.7200125273571958
RMSE,test,2.1629077923234523
RMSE,test,1.9526801925550965
RMSE,test,1.883022078752819
RMSE,test,2.0639317068596426
RMSE,test,2.0126277910911856
RMSE,test,1.8757378299054042
RMSE,test,1.8762939799205705
R2,train,0.9489283487728697
R2,train,0.9478533150854358
R2,train,0.9482431342535946
R2,train,0.9524363889887176
R2,train,0.9494850546797375
R2,train,0.9497279272725903
R2,train,0.9494650741002766
R2,train,0.9518748377027305
R2,train,0.9487720420910143
R2,train,0.9481733761882533
R2,test,0.714133539943105
R2,test,0.6703318781107563
R2,test,0.738702167148813
R2,test,0.5909864060268368
R2,test,0.6917100315333602
R2,test,0.7041163720508448
R2,test,0.6479763401549016
R2,test,0.6704030604652087
R2,test,0.7127710891203266
R2,test,0.7351741707137815
MAE,train,0.5474403940105419
MAE,train,0.5596001191787326
MAE,train,0.5552395286343002
MAE,train,0.5279409435659648
MAE,train,0.5437331361565405
MAE,train,0.5468267395629337
MAE,train,0.5401117769123187
MAE,train,0.5287941780321179
MAE,train,0.547446297333099
MAE,train,0.5512239493963776
MAE,test,1.3703692977400077
MAE,test,1.3420328013395517
MAE,test,1.2682817036642327
MAE,test,1.5412833983124143
MAE,test,1.4973885720782252
MAE,test,1.3800947415297997
MAE,test,1.6010603951554885
MAE,test,1.5402052686250995
MAE,test,1.4801070888364203
MAE,test,1.4720728510077714
