metric,dataset,value
RMSE,train,1.0662664560828392
RMSE,train,1.0071253396688506
RMSE,train,1.088436008721572
RMSE,train,1.0764165017557383
RMSE,train,1.055249666148944
RMSE,train,1.0852798804979757
RMSE,train,1.094743080274665
RMSE,train,1.0611998718151188
RMSE,train,1.0334843388351265
RMSE,train,1.0628049167408204
RMSE,test,2.0369729373709164
RMSE,test,2.201268988160506
RMSE,test,2.115917321297134
RMSE,test,2.1052199791782367
RMSE,test,1.9583653407211346
RMSE,test,1.9699188043618385
RMSE,test,2.1434093188730055
RMSE,test,2.121164711899251
RMSE,test,2.0094342896585498
RMSE,test,1.9077189081726476
R2,train,0.9056458956764902
R2,train,0.9164014031348983
R2,train,0.9013041602867075
R2,train,0.9032355133036263
R2,train,0.9062526196134459
R2,train,0.9012506472994377
R2,train,0.8994943086027508
R2,train,0.9054155629504298
R2,train,0.9099589469774304
R2,train,0.9042702970048269
R2,test,0.6167028429993024
R2,test,0.5223538577206663
R2,test,0.6045696716617521
R2,test,0.6125133916030087
R2,test,0.6899122711270007
R2,test,0.6761776930344634
R2,test,0.6203429777329834
R2,test,0.6338955339247192
R2,test,0.6703663839818441
R2,test,0.7262290651049501
MAE,train,0.8052812792585389
MAE,train,0.7745420701109978
MAE,train,0.8369647283680814
MAE,train,0.8358898328956199
MAE,train,0.8195354814029827
MAE,train,0.8391757985470947
MAE,train,0.8482078520423065
MAE,train,0.8121185808212328
MAE,train,0.7842397323426179
MAE,train,0.8158343257802048
MAE,test,1.6120123973986467
MAE,test,1.757344048549666
MAE,test,1.6357965832306112
MAE,test,1.6822244201058005
MAE,test,1.5200608839581513
MAE,test,1.5480144050632534
MAE,test,1.675795124540862
MAE,test,1.6634803944301135
MAE,test,1.6384929759496836
MAE,test,1.4914095884264342
