metric,dataset,value
RMSE,train,1.375170790931553
RMSE,train,1.3576689444641545
RMSE,train,1.3684159152027113
RMSE,train,1.3761225552497023
RMSE,train,1.3630036461912318
RMSE,train,1.410351661472468
RMSE,train,1.400218625458587
RMSE,train,1.383862168127819
RMSE,train,1.3208940807739655
RMSE,train,1.3728616788271963
RMSE,test,1.6013442907487048
RMSE,test,1.9975046353832926
RMSE,test,1.777875254195245
RMSE,test,1.7774247652492308
RMSE,test,1.9132256753028445
RMSE,test,1.922804014035242
RMSE,test,1.5092537200771585
RMSE,test,1.6481789364727772
RMSE,test,2.204899833069376
RMSE,test,1.7516284481480828
R2,train,0.7185102958216596
R2,train,0.7255336480683174
R2,train,0.7175112392486456
R2,train,0.7110480572350113
R2,train,0.7148245669578683
R2,train,0.7009076414483837
R2,train,0.7062685250893519
R2,train,0.7117113260990442
R2,train,0.7267370723419029
R2,train,0.7169853564809068
R2,test,0.5427925176362635
R2,test,0.2992499418887534
R2,test,0.49767283051988886
R2,test,0.55878871282586
R2,test,0.5066686533756454
R2,test,0.4107856870547838
R2,test,0.6242480633489933
R2,test,0.5709794985258068
R2,test,0.4214465681122582
R2,test,0.5060762603591682
MAE,train,1.0334028471533379
MAE,train,1.0257482542849647
MAE,train,1.0281032787801971
MAE,train,1.0401046808358119
MAE,train,1.024956969578355
MAE,train,1.0578179052793708
MAE,train,1.0550286140628953
MAE,train,1.031135268896201
MAE,train,0.9978035855153918
MAE,train,1.0412567748390331
MAE,test,1.2650013792141688
MAE,test,1.5269334556086085
MAE,test,1.3891662549689068
MAE,test,1.371811569823553
MAE,test,1.4509696670302823
MAE,test,1.4779156800618904
MAE,test,1.1571204557695332
MAE,test,1.301670733583414
MAE,test,1.6685274926280043
MAE,test,1.324558049998475
Fit_time,train,0.4355018138885498
Fit_time,train,0.42747974395751953
Fit_time,train,0.4154338836669922
Fit_time,train,0.41920042037963867
Fit_time,train,0.3839569091796875
Fit_time,train,0.40915584564208984
Fit_time,train,0.4003763198852539
Fit_time,train,0.41703033447265625
Fit_time,train,0.4542114734649658
Fit_time,train,0.4296598434448242
Fit_time,test,0.0039997100830078125
Fit_time,test,0.004002094268798828
Fit_time,test,0.00400233268737793
Fit_time,test,0.003999948501586914
Fit_time,test,0.004825115203857422
Fit_time,test,0.004002571105957031
Fit_time,test,0.0039997100830078125
Fit_time,test,0.003999471664428711
Fit_time,test,0.004003047943115234
Fit_time,test,0.003999948501586914
