metric,dataset,value
RMSE,train,1.3459047818582597
RMSE,train,1.2942838379991126
RMSE,train,1.333597083742479
RMSE,train,1.3119990190778046
RMSE,train,1.3205744762863436
RMSE,train,1.3337658764159686
RMSE,train,1.3284798333069114
RMSE,train,1.3117519305526621
RMSE,train,1.295568806832663
RMSE,train,1.327971172408603
RMSE,test,1.5389479522705791
RMSE,test,1.8589581509082844
RMSE,test,1.6981850312287303
RMSE,test,1.6692724212667602
RMSE,test,1.9086485665220825
RMSE,test,1.7095196182378782
RMSE,test,1.4729801528917374
RMSE,test,1.597646957929152
RMSE,test,1.9874144562687441
RMSE,test,1.6422752788036998
R2,train,0.7303639797477611
R2,train,0.7505632736669687
R2,train,0.731703989682841
R2,train,0.7373493904177124
R2,train,0.7323027729039868
R2,train,0.7325086807804114
R2,train,0.735595575883137
R2,train,0.7409728238953373
R2,train,0.7371150674033773
R2,train,0.7351910636966714
R2,test,0.5777285088275816
R2,test,0.39308652947634537
R2,test,0.5416955066871811
R2,test,0.6108486004278293
R2,test,0.5090262740840512
R2,test,0.5342515417268723
R2,test,0.6420927400095942
R2,test,0.5968831417990215
R2,test,0.5299515402194219
R2,test,0.5658219823599855
MAE,train,1.0328422599189226
MAE,train,0.9935519596059391
MAE,train,1.0207964770871605
MAE,train,1.0128854592798044
MAE,train,1.0186597279624552
MAE,train,1.0243700429118658
MAE,train,1.0178318964483315
MAE,train,1.0027804050024718
MAE,train,0.9923038323095513
MAE,train,1.0179135244384274
MAE,test,1.1990320615715346
MAE,test,1.3781933933695099
MAE,test,1.3171908515037052
MAE,test,1.3006057947666119
MAE,test,1.4266021483233287
MAE,test,1.305571174102703
MAE,test,1.182411077410075
MAE,test,1.2719584499556769
MAE,test,1.509044856453628
MAE,test,1.2214429712816446
Fit_time,train,0.5941760540008545
Fit_time,train,0.5645315647125244
Fit_time,train,0.5213572978973389
Fit_time,train,0.47198963165283203
Fit_time,train,0.5273504257202148
Fit_time,train,0.46309590339660645
Fit_time,train,0.5063986778259277
Fit_time,train,0.49363064765930176
Fit_time,train,0.504657506942749
Fit_time,train,0.48978209495544434
Fit_time,test,0.005250215530395508
Fit_time,test,0.006125926971435547
Fit_time,test,0.005000114440917969
Fit_time,test,0.0051114559173583984
Fit_time,test,0.005001544952392578
Fit_time,test,0.005000591278076172
Fit_time,test,0.005502223968505859
Fit_time,test,0.004999399185180664
Fit_time,test,0.0049991607666015625
Fit_time,test,0.004999637603759766
