metric,dataset,value
RMSE,train,0.7333396845182606
RMSE,train,0.735866716971929
RMSE,train,0.7543096549982774
RMSE,train,0.7422618591821284
RMSE,train,0.7394916343098
RMSE,train,0.7432290701834582
RMSE,train,0.7383032138631302
RMSE,train,0.7417341423777486
RMSE,train,0.7367304369583596
RMSE,train,0.7553073243077735
RMSE,test,1.1250008570195666
RMSE,test,1.0821984405342433
RMSE,test,1.036476127943762
RMSE,test,1.178731860073181
RMSE,test,0.9998257652143835
RMSE,test,1.0237516306882903
RMSE,test,1.006320425628141
RMSE,test,1.1005752672026277
RMSE,test,1.0819117400899125
RMSE,test,0.9370153340661704
R2,train,0.7894954910296803
R2,train,0.791603946132338
R2,train,0.7764258441326797
R2,train,0.7844939696865754
R2,train,0.7886219074236052
R2,train,0.7881878020996796
R2,train,0.7886968079072965
R2,train,0.7830706127212321
R2,train,0.7919424597506656
R2,train,0.7820789078250205
R2,test,0.5461186098449593
R2,test,0.5126630583300167
R2,test,0.6279126056787432
R2,test,0.5002622117652133
R2,test,0.6015473083891679
R2,test,0.548190725681186
R2,test,0.6065597873966065
R2,test,0.5908825843622418
R2,test,0.4934048707080664
R2,test,0.6048442445512772
MAE,train,0.5540818533347703
MAE,train,0.55594449392175
MAE,train,0.5702590163330027
MAE,train,0.5609796456205298
MAE,train,0.5586248529546034
MAE,train,0.5618519448837033
MAE,train,0.5596886573585553
MAE,train,0.5613299674926676
MAE,train,0.555832815487976
MAE,train,0.5707991682133011
MAE,test,0.8391557404512321
MAE,test,0.7801712663414797
MAE,test,0.7975585053344727
MAE,test,0.8813273078952619
MAE,test,0.7776569954878623
MAE,test,0.747037448400623
MAE,test,0.7737017413911191
MAE,test,0.815845221761418
MAE,test,0.8152243910326471
MAE,test,0.7292262878482841
