metric,dataset,value
RMSE,train,0.4821358163026562
RMSE,train,0.47830655809870126
RMSE,train,0.47758000364303843
RMSE,train,0.4733022471729669
RMSE,train,0.4800125430078573
RMSE,train,0.479192408568849
RMSE,train,0.47604466560572845
RMSE,train,0.48336955457543157
RMSE,train,0.47727992097325667
RMSE,train,0.48453228118711855
RMSE,test,0.7878023931547814
RMSE,test,0.7184037290998289
RMSE,test,0.7807428803928833
RMSE,test,0.804881176613019
RMSE,test,0.7470208629799724
RMSE,test,0.7515918853793874
RMSE,test,0.8945446350060636
RMSE,test,0.8341398524145905
RMSE,test,0.784070158321638
RMSE,test,0.7339556398628118
R2,train,0.9090108059897546
R2,train,0.911955173614866
R2,train,0.9103780197906184
R2,train,0.9123761623780884
R2,train,0.9109367342242157
R2,train,0.9119507929303171
R2,train,0.9121519863679989
R2,train,0.9078743777720487
R2,train,0.9126802340393366
R2,train,0.9103196472950736
R2,test,0.7774276243619166
R2,test,0.78524035273205
R2,test,0.7888736622023135
R2,test,0.7669893949930211
R2,test,0.7775698889722356
R2,test,0.7564825465658852
R2,test,0.6891075314631694
R2,test,0.7649900710277155
R2,test,0.7339353402459078
R2,test,0.7575542699561454
MAE,train,0.3418367095291949
MAE,train,0.34062143943988893
MAE,train,0.3407442707186018
MAE,train,0.3372532861470929
MAE,train,0.34211168750891197
MAE,train,0.342846374438734
MAE,train,0.33619509024710703
MAE,train,0.34137857851233305
MAE,train,0.3367768710690197
MAE,train,0.34448458638457596
MAE,test,0.553629503675364
MAE,test,0.5306323018358828
MAE,test,0.562811486688779
MAE,test,0.5947471749309938
MAE,test,0.5525176627440495
MAE,test,0.5286007888984452
MAE,test,0.6384757415034586
MAE,test,0.6109082781956382
MAE,test,0.5748686092896604
MAE,test,0.5117844997795699
