metric,dataset,value
RMSE,train,0.22316815449505828
RMSE,train,0.22678136969144067
RMSE,train,0.2247263205720529
RMSE,train,0.22673971267943066
RMSE,train,0.22658533061328556
RMSE,train,0.22506921976710273
RMSE,train,0.22550947905355706
RMSE,train,0.22344303497012297
RMSE,train,0.2280732733485111
RMSE,train,0.22218915945709755
RMSE,test,0.5347124158744008
RMSE,test,0.5423328623316319
RMSE,test,0.5601528871296286
RMSE,test,0.529133019468364
RMSE,test,0.5377644890914937
RMSE,test,0.5113286860632651
RMSE,test,0.5077792169738211
RMSE,test,0.5839760386749275
RMSE,test,0.5510346492437476
RMSE,test,0.5606652037935009
R2,train,0.8721820094826906
R2,train,0.8680489192037784
R2,train,0.8688549319246371
R2,train,0.8667088086203506
R2,train,0.8681458695159612
R2,train,0.870621816131937
R2,train,0.8704221784624678
R2,train,0.869988595559738
R2,train,0.8675987729975518
R2,train,0.8738041412526386
R2,test,0.25637761758027733
R2,test,0.23392488607621975
R2,test,0.26043259438946464
R2,test,0.3329886946702696
R2,test,0.250344058054604
R2,test,0.2896268724423754
R2,test,0.2769187565115041
R2,test,0.2004219468411983
R2,test,0.14666696321546002
R2,test,0.14712561519698253
MAE,train,0.17518786225164013
MAE,train,0.17747786722352268
MAE,train,0.17655896110852012
MAE,train,0.17869155447046733
MAE,train,0.17909604712219457
MAE,train,0.17634455595053278
MAE,train,0.1772144042950006
MAE,train,0.1755225306276237
MAE,train,0.17910047591232403
MAE,train,0.17502752800705432
MAE,test,0.44029518882424307
MAE,test,0.4601507991119187
MAE,test,0.4634634205753735
MAE,test,0.43886110131591505
MAE,test,0.429216821214534
MAE,test,0.4277527067548264
MAE,test,0.42188254925412416
MAE,test,0.4852485252857703
MAE,test,0.45393816565147
MAE,test,0.4636061537918116
Fit_time,train,3.0959739685058594
Fit_time,train,3.072542428970337
Fit_time,train,2.9240798950195312
Fit_time,train,2.9740514755249023
Fit_time,train,2.928588628768921
Fit_time,train,2.9566831588745117
Fit_time,train,3.0224609375
Fit_time,train,2.9467976093292236
Fit_time,train,2.996084213256836
Fit_time,train,2.9123237133026123
Fit_time,test,0.007000446319580078
Fit_time,test,0.0069997310638427734
Fit_time,test,0.0060040950775146484
Fit_time,test,0.006999969482421875
Fit_time,test,0.005998373031616211
Fit_time,test,0.006510019302368164
Fit_time,test,0.00699925422668457
Fit_time,test,0.006999492645263672
Fit_time,test,0.006000041961669922
Fit_time,test,0.006001472473144531
