metric,dataset,value
RMSE,train,1.9924415423509159
RMSE,train,1.9954275100015646
RMSE,train,1.987077285860834
RMSE,train,1.9906858646289223
RMSE,train,1.9922679710022877
RMSE,train,1.9870910383126044
RMSE,train,1.9821216892704696
RMSE,train,1.995294942833675
RMSE,train,1.9811291184802586
RMSE,train,1.9880611164285433
RMSE,test,2.0123997650527006
RMSE,test,2.0037883572113637
RMSE,test,2.0370814816045977
RMSE,test,2.075910026305208
RMSE,test,2.0293968075889404
RMSE,test,2.076723229246925
RMSE,test,2.1119234621788667
RMSE,test,2.012374411884197
RMSE,test,2.095833283130417
RMSE,test,2.0818258251748274
R2,train,0.5543129102760869
R2,train,0.5543559235414885
R2,train,0.556950801515153
R2,train,0.554941161542648
R2,train,0.5536058482021973
R2,train,0.5566012675071901
R2,train,0.5571740054116097
R2,train,0.5538394456950286
R2,train,0.5590076217833084
R2,train,0.555642709533537
R2,test,0.5438534530267437
R2,test,0.5346631608772777
R2,test,0.5300695613640567
R2,test,0.5162702054010452
R2,test,0.543451144171927
R2,test,0.5152167538749841
R2,test,0.5148106245443125
R2,test,0.5359627523622842
R2,test,0.5087005210560668
R2,test,0.5172892728042492
MAE,train,1.5279604455299116
MAE,train,1.532984636500485
MAE,train,1.524574232856547
MAE,train,1.526406059759722
MAE,train,1.5306322388831624
MAE,train,1.5240420492564526
MAE,train,1.5246438997121448
MAE,train,1.5323759680101139
MAE,train,1.523460888162791
MAE,train,1.526840889755756
MAE,test,1.5546248628079025
MAE,test,1.5314098668999094
MAE,test,1.5486445992516684
MAE,test,1.6005577083999483
MAE,test,1.5641217034799255
MAE,test,1.6105398518449257
MAE,test,1.6038076500574872
MAE,test,1.5378795928479587
MAE,test,1.6012834147719568
MAE,test,1.5832353673751831
Fit_time,train,25.235599040985107
Fit_time,train,25.14411187171936
Fit_time,train,23.190319538116455
Fit_time,train,29.66790461540222
Fit_time,train,29.058366060256958
Fit_time,train,24.096553325653076
Fit_time,train,23.162230253219604
Fit_time,train,23.362799644470215
Fit_time,train,26.27324104309082
Fit_time,train,27.519874334335327
Fit_time,test,0.03552103042602539
Fit_time,test,0.04500460624694824
Fit_time,test,0.026000499725341797
Fit_time,test,0.037091732025146484
Fit_time,test,0.034002065658569336
Fit_time,test,0.026513338088989258
Fit_time,test,0.0336451530456543
Fit_time,test,0.028359413146972656
Fit_time,test,0.037367820739746094
Fit_time,test,0.033518075942993164
