metric,dataset,value
RMSE,train,1.815467780479276
RMSE,train,1.8189568876586992
RMSE,train,1.8197508863872134
RMSE,train,1.8094267483792552
RMSE,train,1.8188571794149484
RMSE,train,1.8162689098619245
RMSE,train,1.8054435804240452
RMSE,train,1.8131962947344333
RMSE,train,1.8116980568152818
RMSE,train,1.802873042183241
RMSE,test,1.8807817390559782
RMSE,test,1.876820954149127
RMSE,test,1.9102227602744992
RMSE,test,1.9281441782626354
RMSE,test,1.8970212672514992
RMSE,test,1.9282438250171536
RMSE,test,1.9791463595561176
RMSE,test,1.8720925624798592
RMSE,test,1.969323059232902
RMSE,test,1.9238970607772736
R2,train,0.6299708234641415
R2,train,0.6296937527286894
R2,train,0.628425145487413
R2,train,0.6322997060255311
R2,train,0.6279338266969339
R2,train,0.6295588568342553
R2,train,0.6325990102460435
R2,train,0.6315601360803789
R2,train,0.6312116799130552
R2,train,0.6345708924518327
R2,test,0.6015694098867845
R2,test,0.5917657625837677
R2,test,0.5867766963148775
R2,test,0.5826842307561553
R2,test,0.6010690672073211
R2,test,0.5820596910304009
R2,test,0.5739007635235838
R2,test,0.5984035130805871
R2,test,0.566222751132273
R2,test,0.5877488943355275
MAE,train,1.3587234390632503
MAE,train,1.3646676531153996
MAE,train,1.3621785237341713
MAE,train,1.3523506340379519
MAE,train,1.3625629788271982
MAE,train,1.3583840071639453
MAE,train,1.351782921723623
MAE,train,1.3572903929622875
MAE,train,1.35384139514508
MAE,train,1.349924959911112
MAE,test,1.4224897876048175
MAE,test,1.38158446341945
MAE,test,1.4088044040598562
MAE,test,1.4553743108052268
MAE,test,1.4064230819721968
MAE,test,1.4543184890365695
MAE,test,1.4611329226351717
MAE,test,1.3931715511076685
MAE,test,1.4583209717577181
MAE,test,1.4305383284137492
Fit_time,train,5.669130086898804
Fit_time,train,5.513435125350952
Fit_time,train,5.498467206954956
Fit_time,train,7.273969411849976
Fit_time,train,6.347329139709473
Fit_time,train,6.653958559036255
Fit_time,train,6.052646160125732
Fit_time,train,5.828120231628418
Fit_time,train,5.553114414215088
Fit_time,train,5.504352569580078
Fit_time,test,0.011999845504760742
Fit_time,test,0.010999679565429688
Fit_time,test,0.011999130249023438
Fit_time,test,0.019008874893188477
Fit_time,test,0.011509895324707031
Fit_time,test,0.011000394821166992
Fit_time,test,0.01600337028503418
Fit_time,test,0.013902425765991211
Fit_time,test,0.012000083923339844
Fit_time,test,0.01100015640258789
