metric,dataset,value
RMSE,train,0.8680551914990199
RMSE,train,0.8571227102938259
RMSE,train,0.8552452875857044
RMSE,train,0.8887332720248794
RMSE,train,0.8888096952747222
RMSE,train,0.8632703582427543
RMSE,train,0.8844249945186906
RMSE,train,0.8753168401672063
RMSE,train,0.8814943927607781
RMSE,train,0.8716675359655237
RMSE,test,1.2183580522421158
RMSE,test,1.721844830726574
RMSE,test,1.9110387576665424
RMSE,test,1.4110759491800784
RMSE,test,1.4237148263881558
RMSE,test,1.7295587524683147
RMSE,test,1.293777269760658
RMSE,test,1.3494822308905245
RMSE,test,1.4623795455223667
RMSE,test,1.499025963523992
R2,train,0.9203651226097291
R2,train,0.9209190899087786
R2,train,0.918988343906523
R2,train,0.9148744129071932
R2,train,0.9145203077004697
R2,train,0.919145383323276
R2,train,0.9159716715368712
R2,train,0.9175884535845562
R2,train,0.9152691990161967
R2,train,0.9184345243872369
R2,test,0.7990942057259941
R2,test,0.6701905924786102
R2,test,0.677991416530804
R2,test,0.7784698245617938
R2,test,0.7770928739963585
R2,test,0.6904723333701269
R2,test,0.8065090879251492
R2,test,0.7964959080235668
R2,test,0.7776523468258321
R2,test,0.7432091205889801
MAE,train,0.6146360437733146
MAE,train,0.5978816534647676
MAE,train,0.6005770712896755
MAE,train,0.6198399723888562
MAE,train,0.6264736869465399
MAE,train,0.6103699111600034
MAE,train,0.6179350136214804
MAE,train,0.6091828902651872
MAE,train,0.6182647078637854
MAE,train,0.6057504724150156
MAE,test,0.779543451276424
MAE,test,1.002508439736691
MAE,test,1.2095258364195525
MAE,test,0.9784300057939964
MAE,test,0.9618967735850786
MAE,test,1.0730067272829837
MAE,test,0.9267168721922775
MAE,test,0.894247671281184
MAE,test,0.9689599892487816
MAE,test,0.8803493213350864
Fit_time,train,0.47723817825317383
Fit_time,train,0.5553524494171143
Fit_time,train,0.49244141578674316
Fit_time,train,0.5205197334289551
Fit_time,train,0.6124475002288818
Fit_time,train,0.6039745807647705
Fit_time,train,0.4287233352661133
Fit_time,train,0.501953125
Fit_time,train,0.4772651195526123
Fit_time,train,0.4909627437591553
Fit_time,test,0.0039997100830078125
Fit_time,test,0.003999948501586914
Fit_time,test,0.003000020980834961
Fit_time,test,0.006000995635986328
Fit_time,test,0.0039997100830078125
Fit_time,test,0.003502368927001953
Fit_time,test,0.004000186920166016
Fit_time,test,0.003002166748046875
Fit_time,test,0.003999948501586914
Fit_time,test,0.003000020980834961
