metric,dataset,value
RMSE,train,0.3175510491419253
RMSE,train,0.3068770406979371
RMSE,train,0.2929539633047963
RMSE,train,0.3064298791202917
RMSE,train,0.28954548090900323
RMSE,train,0.2994583368590569
RMSE,train,0.3018566741371012
RMSE,train,0.29858705061141183
RMSE,train,0.28738132949022344
RMSE,train,0.3078339769700084
RMSE,test,1.0623668857610127
RMSE,test,1.5640891170110327
RMSE,test,1.8707586631554538
RMSE,test,1.4838062319768612
RMSE,test,1.2002855974947793
RMSE,test,1.6719004685548853
RMSE,test,1.362880186509766
RMSE,test,1.425298327211617
RMSE,test,1.3512470716927556
RMSE,test,1.4413253456288018
R2,train,0.9893429809516447
R2,train,0.9898628832332657
R2,train,0.9904947206178741
R2,train,0.9898800245003906
R2,train,0.9909285029085437
R2,train,0.9902706465443438
R2,train,0.9902117450067022
R2,train,0.9904104233777131
R2,train,0.9909942621056517
R2,train,0.9898272648904816
R2,test,0.847246335788939
R2,test,0.7278564751667921
R2,test,0.6914226902731198
R2,test,0.7550448956610347
R2,test,0.841566459739385
R2,test,0.710765780107735
R2,test,0.785287714966475
R2,test,0.772987194284986
R2,test,0.8101625578010532
R2,test,0.7625974759388696
MAE,train,0.19214936106074135
MAE,train,0.18622415784454102
MAE,train,0.17378747039611767
MAE,train,0.1867917263489307
MAE,train,0.17931740499793414
MAE,train,0.18316339119244054
MAE,train,0.18443299458386128
MAE,train,0.1797342109010286
MAE,train,0.18288831151028206
MAE,train,0.1853952141212459
MAE,test,0.7105016570089733
MAE,test,0.9379396059388571
MAE,test,1.2101727090276337
MAE,test,0.9244578431933472
MAE,test,0.8798592163183442
MAE,test,1.0982731166320636
MAE,test,0.9535083910727484
MAE,test,0.9539539714647975
MAE,test,0.96719778903386
MAE,test,0.8775102856733353
Fit_time,train,1.8953578472137451
Fit_time,train,2.012864112854004
Fit_time,train,2.0784499645233154
Fit_time,train,2.064333438873291
Fit_time,train,2.079211711883545
Fit_time,train,2.0466084480285645
Fit_time,train,2.032496690750122
Fit_time,train,1.9885406494140625
Fit_time,train,1.892655611038208
Fit_time,train,1.7365872859954834
Fit_time,test,0.005002737045288086
Fit_time,test,0.0039997100830078125
Fit_time,test,0.005095243453979492
Fit_time,test,0.004999876022338867
Fit_time,test,0.005005359649658203
Fit_time,test,0.004165172576904297
Fit_time,test,0.004999876022338867
Fit_time,test,0.005064725875854492
Fit_time,test,0.00599980354309082
Fit_time,test,0.004999876022338867
